Area,Bedrooms,Bathrooms,Age,Location,Price
1660,2,2,41,Downtown,438094.0
4572,5,2,33,Downtown,1183374.0
3892,1,2,31,Rural,476979.0
1266,1,3,44,Downtown,299304.0
4244,1,1,48,Downtown,920703.0
3971,1,1,20,Downtown,900675.0
3719,1,1,45,Rural,481316.0
930,5,2,43,Uptown,289368.0
2485,3,2,20,Downtown,680913.0
1569,2,1,43,Downtown,392070.0
3191,1,2,10,Rural,402762.0
3233,3,1,38,Uptown,590240.0
1984,3,1,3,Downtown,584459.0
4185,2,1,0,Suburbs,634631.0
4917,5,1,27,Rural,643477.0
3704,4,1,23,Downtown,893030.0
1274,4,1,34,Downtown,348939.0
1882,3,1,12,Suburbs,383359.0
3358,2,2,46,Suburbs,561194.0
2847,4,1,33,Rural,387391.0
3547,3,1,10,Rural,476560.0
1775,5,2,35,Suburbs,378481.0
2606,4,2,16,Rural,418277.0
989,3,2,34,Suburbs,157612.0
3534,3,1,17,Downtown,899131.0
3805,1,3,39,Suburbs,628722.0
2699,5,3,21,Suburbs,554335.0
2067,1,2,23,Uptown,409182.0
2328,2,3,18,Suburbs,455699.0
4002,1,2,36,Suburbs,615118.0
4356,1,1,38,Uptown,760412.0
4690,4,3,20,Rural,603701.0
1446,3,1,7,Uptown,390903.0
3688,5,3,27,Downtown,965397.0
3235,1,1,4,Uptown,633409.0
1400,5,3,16,Downtown,530891.0
3163,1,1,36,Rural,412974.0
2861,2,1,35,Uptown,497243.0
1041,1,3,18,Uptown,257073.0
2841,4,1,26,Rural,371925.0
3624,3,1,33,Downtown,920079.0
3412,2,1,10,Uptown,630034.0
2163,1,3,44,Downtown,561240.0
2278,5,3,46,Uptown,565242.0
3356,2,1,11,Suburbs,511479.0
1575,2,1,20,Uptown,325350.0
4814,1,3,10,Rural,644459.0
834,2,3,38,Rural,183088.0
3952,5,1,27,Downtown,980218.0
2755,2,1,4,Uptown,556600.0
2385,5,1,16,Downtown,647225.0
4743,1,2,19,Downtown,1120696.0
3873,3,3,40,Suburbs,615750.0
1821,2,2,45,Suburbs,311550.0
4261,3,3,11,Rural,628966.0
3413,5,3,5,Downtown,957362.0
4643,2,3,16,Rural,638897.0
2300,4,3,18,Uptown,539075.0
961,3,3,25,Downtown,306167.0
2781,2,3,47,Downtown,653587.0
1795,3,3,43,Uptown,359169.0
4142,2,2,43,Uptown,781732.0
4598,1,1,31,Rural,520876.0
2075,3,1,5,Rural,265878.0
1816,4,2,35,Uptown,369865.0
1137,4,2,37,Rural,242745.0
1678,5,2,10,Uptown,469688.0
1876,2,2,32,Downtown,470335.0
4793,3,3,23,Downtown,1170356.0
1179,5,1,22,Suburbs,312726.0
1292,3,3,14,Downtown,377536.0
2862,2,1,26,Uptown,542893.0
4684,4,1,10,Rural,664979.0
864,1,2,49,Suburbs,126136.0
3368,4,3,16,Rural,510864.0
2827,5,2,13,Uptown,698474.0
3495,1,3,26,Downtown,846023.0
2295,5,1,17,Suburbs,408529.0
1191,2,2,27,Uptown,284645.0
4361,1,2,46,Suburbs,679536.0
3078,5,1,46,Suburbs,566824.0
3899,2,1,3,Downtown,982760.0
1000,4,1,6,Uptown,310855.0
3904,2,2,44,Rural,531191.0
3254,3,3,34,Suburbs,607718.0
4445,2,2,47,Suburbs,717023.0
1604,2,3,8,Rural,270750.0
3531,3,2,7,Uptown,761654.0
3573,5,2,44,Suburbs,625978.0
2370,5,1,16,Suburbs,494522.0
3490,2,3,16,Suburbs,634132.0
4640,3,2,48,Uptown,906728.0
1828,3,2,32,Uptown,366748.0
1302,4,1,31,Rural,209935.0
1670,5,1,7,Uptown,463006.0
1006,1,3,18,Uptown,280665.0
2284,5,2,37,Downtown,679933.0
1663,5,3,2,Rural,362985.0
3590,4,2,4,Suburbs,651330.0
1363,1,3,12,Uptown,333580.0
4991,4,1,46,Suburbs,800159.0
2557,1,2,45,Suburbs,404956.0
2478,2,3,30,Downtown,684270.0
4042,1,1,15,Uptown,741079.0
1859,4,1,49,Rural,259529.0
2522,5,3,31,Uptown,575284.0
4114,1,2,21,Suburbs,692593.0
3957,1,2,28,Rural,476325.0
3425,3,1,21,Uptown,675669.0
3529,5,2,42,Suburbs,662752.0
2397,2,2,2,Suburbs,408226.0
3860,4,2,9,Downtown,1034093.0
3493,2,1,41,Downtown,804689.0
4427,5,3,20,Downtown,1184374.0
2163,1,2,15,Suburbs,388864.0
2781,1,1,11,Uptown,572475.0
2463,5,1,1,Downtown,747482.0
2329,1,3,40,Uptown,481282.0
2838,1,2,23,Downtown,724482.0
4102,1,2,34,Rural,486963.0
3037,4,3,29,Rural,469628.0
2106,4,3,29,Downtown,615424.0
4829,3,1,46,Suburbs,746741.0
